Date,Open,High,Low,Close,Adj Close,Volume
2018-11-08,150.039993,151.490005,149.910004,150.550003,147.456985,2801000
2018-11-09,150.089996,150.710007,148.830002,150.320007,147.231689,2378400
2018-11-12,150.169998,150.630005,147.910004,148.130005,145.086716,2261200
2018-11-13,147.949997,150.789993,147.160004,147.679993,144.645935,2472900
2018-11-14,148.649994,148.940002,147.210007,147.529999,144.499008,2827300
2018-11-15,145.649994,148.449997,145.210007,147.770004,145.543045,3029000
2018-11-16,147.479996,148.990005,146.809998,148.550003,146.311295,3157200
2018-11-19,148.429993,149.779999,146.960007,147.470001,145.247574,2256900
2018-11-20,145.699997,146.949997,143.300003,144.050003,141.879120,3578500
2018-11-21,144.949997,145.729996,144.029999,144.100006,141.928360,2866600
2018-11-23,142.639999,144.119995,142.009995,143.259995,141.101013,1513300
2018-11-26,143.869995,144.589996,142.020004,143.220001,141.061630,4029100
2018-11-27,142.380005,143.679993,142.139999,142.889999,140.736603,3659100
2018-11-28,143.679993,144.419998,142.100006,144.300003,142.125351,4295300
2018-11-29,144.300003,146.850006,143.809998,145.740005,143.543655,2646900
2018-11-30,145.899994,147.100006,145.330002,146.750000,144.538422,5394000
2018-12-03,150.000000,151.509995,148.809998,148.979996,146.734802,4319300
2018-12-04,148.300003,149.250000,142.509995,142.679993,140.529755,4113600
2018-12-06,140.250000,141.720001,137.139999,141.559998,139.426636,5946100
2018-12-07,140.830002,143.179993,138.110001,138.710007,136.619598,3644500
2018-12-10,138.699997,139.240005,135.649994,137.949997,135.871048,3121800
2018-12-11,139.789993,140.190002,136.119995,136.809998,134.748215,4124800
2018-12-12,138.770004,140.839996,138.229996,138.289993,136.205917,4201100
2018-12-13,139.110001,140.199997,137.899994,138.820007,136.727936,2361500
2018-12-14,137.429993,138.380005,136.059998,136.440002,134.383789,2597800
2018-12-17,135.830002,137.179993,133.580002,134.380005,132.354858,3133200
2018-12-18,135.949997,136.759995,134.380005,135.179993,133.142776,2637800
2018-12-19,135.550003,137.759995,132.149994,133.259995,131.251709,3868700
2018-12-20,132.729996,133.619995,129.369995,130.669998,128.700760,4518900
2018-12-21,130.009995,132.449997,129.330002,129.440002,127.489281,6903700
2018-12-24,128.600006,128.990005,124.629997,124.830002,122.948769,2838800
2018-12-26,125.019997,129.600006,123.480003,129.570007,127.617332,3440200
2018-12-27,127.620003,131.630005,126.839996,131.570007,129.587204,3249600
2018-12-28,132.119995,133.070007,130.250000,130.759995,128.789383,2759200
2018-12-31,131.559998,132.160004,130.470001,132.119995,130.128891,2199900
2019-01-02,130.190002,132.089996,129.500000,131.830002,129.843277,2756000
2019-01-03,132.100006,132.979996,129.070007,130.070007,128.109787,3184000
2019-01-04,132.619995,135.039993,132.050003,134.619995,132.591232,3583600
2019-01-07,134.339996,136.000000,133.149994,135.369995,133.329910,2944600
2019-01-08,136.059998,136.880005,134.320007,135.089996,133.054138,2636100
2019-01-09,136.199997,136.740005,135.070007,135.720001,133.674652,1992900
2019-01-10,135.220001,137.940002,134.669998,137.750000,135.674057,2149700
2019-01-11,136.750000,137.750000,136.410004,137.360001,135.289932,1890400
2019-01-14,136.339996,138.039993,135.979996,137.610001,135.536163,3100600
2019-01-15,137.429993,138.149994,136.539993,137.770004,135.693741,1841900
2019-01-16,137.520004,138.699997,137.250000,138.020004,135.940002,2247300
2019-01-17,137.309998,140.630005,137.190002,139.880005,137.771957,2577400
2019-01-18,141.779999,142.509995,140.360001,141.850006,139.712265,5421600
2019-01-22,140.960007,141.149994,138.699997,139.820007,137.712860,3196500
2019-01-23,140.820007,141.289993,139.229996,140.740005,138.619003,2966300
2019-01-24,140.889999,142.000000,140.460007,141.179993,139.052353,2707200
2019-01-25,142.500000,142.699997,141.419998,141.710007,139.574387,3206300
2019-01-28,140.330002,140.789993,138.869995,140.479996,138.362900,3478300
2019-01-29,140.850006,142.210007,140.500000,141.740005,139.603928,2424500
2019-01-30,142.460007,143.750000,140.940002,143.279999,141.120712,3112800
2019-01-31,142.800003,144.059998,142.250000,143.630005,141.465439,3473600
2019-02-01,148.699997,149.000000,144.339996,144.710007,142.529175,5536500
2019-02-04,144.479996,148.009995,144.440002,147.929993,145.700623,4692800
2019-02-05,148.399994,148.690002,147.410004,148.690002,146.449188,2962700
2019-02-06,148.990005,149.490005,148.289993,148.899994,146.656006,3147200
2019-02-07,147.669998,148.899994,147.250000,148.149994,145.917313,2961700
2019-02-08,147.979996,148.639999,147.190002,148.610001,146.370392,3952100
2019-02-11,148.990005,149.320007,148.050003,148.479996,146.242340,2977700
2019-02-12,149.199997,150.509995,148.960007,150.360001,148.094025,2654900
2019-02-13,150.990005,152.679993,150.679993,151.479996,149.197128,2759700
2019-02-14,150.929993,151.639999,149.960007,150.520004,148.251617,2110700
2019-02-15,152.000000,153.320007,151.589996,153.320007,151.009430,3039400
2019-02-19,152.610001,153.750000,152.389999,153.279999,150.970016,2479600
2019-02-20,153.330002,154.839996,153.009995,154.580002,152.250427,2622400
2019-02-21,153.539993,153.750000,152.080002,152.610001,151.111710,2706300
2019-02-22,153.250000,153.600006,152.380005,153.199997,151.695923,2868500
2019-02-25,154.199997,154.679993,153.729996,154.059998,152.547470,2312500
2019-02-26,153.889999,154.809998,153.619995,153.919998,152.408844,1986300
2019-02-27,153.860001,154.740005,153.110001,154.600006,153.082184,1751400
2019-02-28,154.089996,154.570007,153.410004,154.070007,152.557388,2843900
2019-03-01,154.990005,155.850006,154.639999,155.720001,154.191177,3385400
2019-03-04,156.789993,156.979996,153.979996,154.500000,152.983154,4068400
2019-03-05,154.509995,155.190002,153.610001,154.149994,152.636581,3381900
2019-03-06,154.100006,155.020004,153.729996,153.740005,152.230621,3929400
2019-03-07,153.570007,153.839996,151.639999,152.479996,150.982971,3579600
2019-03-08,151.270004,151.809998,150.380005,151.589996,150.101715,2920700
2019-03-11,151.000000,153.229996,150.550003,153.190002,151.686020,2792800
2019-03-12,153.570007,154.369995,152.800003,153.500000,151.992981,1822000
2019-03-13,154.300003,155.440002,153.850006,155.039993,153.517853,2533900
2019-03-14,155.350006,155.630005,154.369995,155.250000,153.725784,2657600
2019-03-15,155.149994,156.009995,155.029999,155.350006,153.824829,5287300
2019-03-18,155.550003,157.089996,154.899994,156.929993,155.389282,2395900
2019-03-19,157.619995,158.160004,156.660004,157.240005,155.696259,2694600
2019-03-20,157.190002,157.679993,155.649994,156.289993,154.755569,2373700
2019-03-21,156.369995,158.910004,156.100006,158.449997,156.894379,1951900
2019-03-22,157.600006,157.830002,155.619995,155.830002,154.300095,2430900
2019-03-25,155.929993,157.229996,155.610001,155.929993,154.399094,2048500
2019-03-26,156.869995,157.869995,156.580002,157.479996,155.933884,2214400
2019-03-27,157.330002,158.289993,156.199997,157.110001,155.567535,2764700
