Date,Open,High,Low,Close,Adj Close,Volume
2018-11-15,116.540001,117.540001,115.320000,117.139999,115.588852,28900
2018-11-16,115.739998,117.300003,115.739998,117.029999,115.480309,14200
2018-11-19,115.830002,115.900002,114.269997,114.349998,112.835793,43200
2018-11-20,112.070000,114.129997,112.070000,113.150002,111.651688,32500
2018-11-21,115.000000,116.769997,115.000000,116.339996,114.799438,35000
2018-11-23,113.940002,114.949997,113.849998,114.800003,113.279839,12400
2018-11-26,113.870003,113.870003,112.510002,113.070000,111.572746,28500
2018-11-27,112.820000,112.849998,112.220001,112.610001,111.118835,20100
2018-11-28,112.110001,114.139999,112.000000,113.949997,112.441093,25800
2018-11-29,113.180000,113.290001,112.339996,112.849998,111.355659,31100
2018-11-30,110.040001,110.989998,109.550003,110.720001,109.253868,22200
2018-12-03,112.690002,112.830002,112.150002,112.239998,110.753738,34700
2018-12-04,113.199997,113.209999,110.529999,110.639999,109.174927,27100
2018-12-06,110.080002,111.500000,109.570000,110.589996,109.125580,123900
2018-12-07,113.010002,113.220001,110.620003,111.129997,109.658432,47300
2018-12-10,110.680000,110.790001,109.180000,110.019997,108.563133,59400
2018-12-11,112.120003,112.169998,111.190002,111.860001,110.378769,51100
2018-12-12,112.949997,113.699997,112.809998,113.110001,111.612221,58600
2018-12-13,113.570000,113.900002,113.139999,113.500000,111.997055,32800
2018-12-14,110.779999,110.779999,109.750000,109.750000,108.296707,39800
2018-12-17,106.790001,106.849998,104.879997,105.300003,103.905640,162500
2018-12-18,107.050003,107.129997,105.480003,105.720001,104.320076,65400
2018-12-19,106.559998,107.349998,104.919998,105.410004,104.014183,52500
2018-12-20,105.139999,105.419998,104.089996,104.559998,103.175430,58400
2018-12-21,105.190002,105.500000,103.739998,103.739998,102.366287,78400
2018-12-24,104.099998,104.900002,102.949997,103.989998,102.612984,26000
2018-12-26,103.000000,105.000000,101.980003,104.809998,103.422119,57900
2018-12-27,102.599998,103.629997,101.480003,103.500000,102.129471,62200
2018-12-28,104.550003,104.800003,103.900002,104.349998,102.968216,43500
2018-12-31,104.599998,105.050003,104.190002,104.339996,102.958344,120000
