Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,166.649994,166.979996,164.990005,166.809998,165.992203,1197500
2019-08-27,168.139999,168.139999,166.080002,166.850006,166.032013,1595100
2019-08-28,165.949997,167.490005,164.720001,167.220001,166.400192,1532100
2019-08-29,169.309998,170.809998,168.759995,169.440002,168.609314,1186800
2019-08-30,170.710007,170.919998,169.029999,169.839996,169.007355,1586200
2019-09-03,167.750000,169.500000,166.600006,167.210007,166.390259,1528200
2019-09-04,168.529999,170.089996,168.500000,169.710007,168.877991,1359900
2019-09-05,171.149994,173.539993,170.800003,173.270004,172.420547,1742600
2019-09-06,173.740005,174.500000,173.020004,173.250000,172.400635,4866000
2019-09-09,173.559998,173.690002,167.130005,168.050003,167.226135,1670200
2019-09-10,166.940002,168.029999,161.610001,164.330002,163.524368,2010100
2019-09-11,163.139999,164.919998,160.399994,161.139999,160.350006,2659400
2019-09-12,161.160004,162.789993,160.149994,160.410004,160.410004,2209200
2019-09-13,161.039993,161.509995,158.949997,159.740005,159.740005,1906900
2019-09-16,158.899994,159.740005,157.750000,158.169998,158.169998,2427900
2019-09-17,158.399994,159.240005,157.600006,158.830002,158.830002,2600700
2019-09-18,158.330002,158.860001,156.039993,157.770004,157.770004,1711900
2019-09-19,159.270004,159.979996,158.509995,159.350006,159.350006,1854400
2019-09-20,159.220001,160.809998,158.750000,159.300003,159.300003,2651100
2019-09-23,158.770004,160.639999,158.500000,159.699997,159.699997,1732600
2019-09-24,160.119995,162.440002,158.770004,160.029999,160.029999,2724800
2019-09-25,160.080002,161.949997,158.820007,161.679993,161.679993,2361500
2019-09-26,162.240005,163.949997,161.699997,163.270004,163.270004,2092900
