Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,275.750000,278.529999,275.690002,278.459991,277.845367,1426400
2019-08-27,281.000000,293.440002,280.339996,292.380005,291.734650,5169000
2019-08-28,293.750000,299.950012,292.420013,294.489990,293.839996,5162100
2019-08-29,297.480011,297.730011,292.760010,296.570007,296.570007,2613100
2019-08-30,298.000000,298.279999,292.829987,294.760010,294.760010,1801000
2019-09-03,292.570007,294.000000,290.459991,292.049988,292.049988,1842900
2019-09-04,294.000000,296.299988,293.769989,296.119995,296.119995,1375700
2019-09-05,298.429993,299.709991,296.679993,296.970001,296.970001,1865300
2019-09-06,299.200012,304.640015,298.290009,303.760010,303.760010,3018100
2019-09-09,304.500000,307.339996,298.209991,299.000000,299.000000,3397200
2019-09-10,297.380005,298.250000,294.579987,297.000000,297.000000,2725000
2019-09-11,294.299988,295.739990,287.809998,290.690002,290.690002,4754700
2019-09-12,290.339996,292.750000,288.679993,289.890015,289.890015,2942600
2019-09-13,290.200012,294.070007,289.850006,291.899994,291.899994,2306300
2019-09-16,290.570007,291.380005,288.339996,288.690002,288.690002,1508900
2019-09-17,289.559998,291.790009,288.690002,291.410004,291.410004,1758900
2019-09-18,290.700012,293.570007,288.799988,292.429993,292.429993,1666000
2019-09-19,289.489990,289.760010,284.709991,287.829987,287.829987,3004700
2019-09-20,288.750000,289.410004,286.140015,286.359985,286.359985,3409500
2019-09-23,286.359985,288.130005,285.750000,287.570007,287.570007,2025400
2019-09-24,289.299988,292.619995,286.399994,287.910004,287.910004,2483200
2019-09-25,288.260010,289.679993,286.869995,288.510010,288.510010,1827800
2019-09-26,289.429993,289.809998,286.600006,288.260010,288.260010,1877300
