Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,233.699997,235.669998,232.339996,234.000000,231.676727,1421400
2018-09-28,233.860001,235.470001,233.789993,234.880005,232.548004,1602800
2018-10-01,235.809998,236.529999,234.429993,234.649994,232.320251,1673100
2018-10-02,234.100006,237.570007,233.869995,236.350006,234.003387,1647600
2018-10-03,236.619995,237.309998,232.729996,233.199997,230.884659,2322300
2018-10-04,233.259995,234.000000,230.660004,231.679993,229.379730,2862800
2018-10-05,225.000000,227.059998,217.789993,218.820007,216.647446,7379000
2018-10-08,219.339996,224.500000,219.259995,223.929993,221.706696,3863500
2018-10-09,224.149994,225.149994,222.559998,224.169998,221.944305,2502800
2018-10-10,224.100006,225.000000,221.039993,221.050003,218.855286,3021400
2018-10-11,222.910004,225.320007,220.929993,221.820007,219.617661,3650900
2018-10-12,225.199997,227.619995,223.389999,226.949997,224.696701,3130500
2018-10-15,226.250000,226.940002,224.250000,224.509995,222.280930,2441900
2018-10-16,224.869995,228.259995,224.320007,227.679993,225.419464,2541800
2018-10-17,228.449997,228.880005,225.509995,228.490005,226.221436,2129300
2018-10-18,228.539993,230.649994,226.250000,228.580002,226.310547,2624600
2018-10-19,228.899994,230.630005,228.720001,229.669998,227.389709,2099800
2018-10-22,229.880005,230.250000,227.270004,229.059998,226.785767,2007300
2018-10-23,227.070007,229.259995,223.820007,228.750000,226.478851,2656700
2018-10-24,225.929993,231.089996,223.089996,223.759995,221.538376,3100200
2018-10-25,224.059998,227.589996,222.839996,226.399994,224.152176,2218900
2018-10-26,222.309998,225.000000,217.000000,218.190002,216.023682,3995400
2018-10-29,219.750000,224.889999,218.750000,222.419998,220.211685,3801400
2018-10-30,223.100006,228.210007,223.009995,227.919998,225.657074,2410500
2018-10-31,228.649994,230.559998,225.559998,228.630005,226.360031,2674600
2018-11-01,228.179993,230.800003,227.539993,229.600006,227.320419,2095000
2018-11-02,229.809998,232.229996,227.179993,230.160004,227.874847,2167200
2018-11-05,230.710007,234.889999,229.800003,234.449997,232.122238,2513900
2018-11-06,235.000000,237.490005,234.179993,236.710007,234.359818,2101300
2018-11-07,238.750000,240.880005,236.940002,240.369995,237.983475,2603600
2018-11-08,238.509995,239.800003,237.029999,238.699997,236.891800,2140600
2018-11-09,237.970001,240.259995,237.070007,237.740005,235.939087,2256700
2018-11-12,237.639999,239.199997,234.130005,234.479996,232.703766,2301400
2018-11-13,234.750000,236.419998,232.770004,234.139999,232.366348,1548100
2018-11-14,237.119995,237.119995,231.710007,233.309998,231.542648,1896500
2018-11-15,232.320007,232.649994,227.000000,229.940002,228.198166,2722300
2018-11-16,229.300003,231.119995,226.520004,231.020004,229.269989,2822400
2018-11-19,231.610001,233.500000,227.809998,228.740005,227.007248,1949500
2018-11-20,224.919998,225.000000,218.050003,219.309998,217.648697,3704800
2018-11-21,220.559998,222.029999,217.449997,218.570007,216.914322,2036500
2018-11-23,218.100006,221.179993,217.660004,220.059998,218.393021,1007500
2018-11-26,222.850006,223.479996,218.899994,219.449997,217.787643,2205600
2018-11-27,219.369995,223.119995,218.380005,223.009995,221.320663,2369800
2018-11-28,222.779999,230.460007,222.190002,230.339996,228.595139,2765600
2018-11-29,229.000000,231.589996,228.360001,231.000000,229.250122,1478700
2018-11-30,231.690002,233.389999,229.699997,231.279999,229.528015,2764000
2018-12-03,230.720001,232.199997,228.210007,232.080002,230.321976,2481500
2018-12-04,232.110001,233.300003,225.559998,226.350006,224.635361,3418600
2018-12-06,227.940002,233.860001,226.600006,233.199997,231.433472,4029800
2018-12-07,233.149994,233.809998,223.029999,224.860001,223.156647,2881900
2018-12-10,224.539993,225.199997,219.110001,222.660004,220.973312,2650000
2018-12-11,225.119995,227.250000,224.000000,226.500000,224.784241,2466800
2018-12-12,228.350006,230.449997,227.070007,227.800003,226.074371,2891400
2018-12-13,228.839996,229.619995,225.479996,226.509995,224.794144,2170200
2018-12-14,218.000000,219.000000,205.509995,207.059998,205.491486,8822300
2018-12-17,206.679993,208.000000,200.660004,202.229996,200.698090,4739400
2018-12-18,203.089996,204.669998,201.570007,202.990005,201.452316,3308500
2018-12-19,203.500000,207.000000,199.860001,201.410004,199.884293,3369600
2018-12-20,200.330002,200.699997,193.679993,197.130005,195.636703,4250900
2018-12-21,197.160004,200.699997,194.320007,194.520004,193.046494,5080200
2018-12-24,193.899994,195.330002,189.800003,189.990005,188.550797,2031700
2018-12-26,190.820007,198.779999,189.509995,198.630005,197.125351,3268800
2018-12-27,196.960007,201.130005,193.960007,201.080002,199.556808,2705900
2018-12-28,201.820007,204.949997,199.589996,202.039993,200.509506,2037800
2018-12-31,203.380005,204.389999,201.380005,203.710007,202.166870,1729400
2019-01-02,200.500000,205.100006,199.850006,204.759995,203.208908,2143100
2019-01-03,203.699997,205.940002,200.039993,200.419998,198.901779,2877700
2019-01-04,203.080002,207.929993,201.449997,206.240005,204.677704,2761600
2019-01-07,205.520004,209.119995,203.539993,207.000000,205.431946,2226600
2019-01-08,208.649994,209.080002,204.179993,208.550003,206.970200,2366500
2019-01-09,209.149994,211.220001,207.919998,209.899994,208.309952,1862900
2019-01-10,208.149994,210.899994,206.000000,210.639999,209.044373,2340700
2019-01-11,210.039993,211.250000,209.309998,210.509995,208.915344,1861100
2019-01-14,209.470001,210.649994,208.160004,209.000000,207.416779,1523100
2019-01-15,210.039993,211.339996,209.080002,211.029999,209.431412,1681900
2019-01-16,211.460007,211.460007,209.500000,210.179993,208.587845,1455000
2019-01-17,209.869995,211.649994,209.649994,211.460007,209.858154,1517100
2019-01-18,212.559998,214.160004,211.770004,213.589996,211.972015,2115400
2019-01-22,213.000000,215.559998,210.800003,212.399994,210.791031,3310800
2019-01-23,213.000000,214.850006,210.000000,212.089996,210.483383,2220200
2019-01-24,212.389999,212.389999,208.899994,210.309998,208.716858,1994400
2019-01-25,212.029999,212.320007,208.740005,209.070007,207.486267,2252300
2019-01-28,208.679993,210.789993,207.309998,210.770004,209.173401,1999400
2019-01-29,210.320007,210.539993,208.570007,210.309998,208.716858,1636500
2019-01-30,210.479996,212.169998,209.320007,211.350006,209.748993,1589800
2019-01-31,211.139999,214.880005,209.720001,214.630005,213.004150,4341100
2019-02-01,214.000000,215.000000,209.369995,210.270004,208.677170,3453700
2019-02-04,210.699997,211.190002,207.899994,211.179993,209.580276,1630300
2019-02-05,211.490005,212.520004,209.639999,211.610001,210.007034,2074500
2019-02-06,212.259995,212.259995,210.479996,211.600006,209.997101,1618800
2019-02-07,210.070007,210.100006,206.270004,209.050003,208.026779,2526600
2019-02-08,207.830002,208.490005,205.750000,207.750000,206.733139,2013700
2019-02-11,208.649994,208.919998,206.759995,208.720001,207.698410,2376600
2019-02-12,210.059998,212.750000,209.259995,211.899994,210.862839,2091200
2019-02-13,212.229996,213.509995,211.300003,212.800003,211.758438,1703000
2019-02-14,212.000000,214.550003,211.139999,213.839996,212.793350,1411100
2019-02-15,215.149994,217.250000,214.039993,216.470001,215.410477,2635500
2019-02-19,216.669998,219.600006,216.509995,218.119995,217.052383,1938100
2019-02-20,218.229996,219.070007,215.059998,217.110001,216.047348,1785600
2019-02-21,216.600006,216.720001,214.330002,215.229996,214.176529,1615300
2019-02-22,215.169998,216.589996,214.250000,216.289993,215.231339,1542500
2019-02-25,217.369995,219.089996,216.550003,217.050003,215.987640,1794000
2019-02-26,216.889999,218.910004,216.130005,217.610001,216.544891,1884100
2019-02-27,216.509995,218.860001,216.449997,218.050003,216.982742,1482700
2019-02-28,218.490005,219.690002,217.520004,218.740005,217.669373,2055600
2019-03-01,219.759995,220.570007,215.770004,219.440002,218.365936,2178200
2019-03-04,220.429993,221.080002,215.869995,218.410004,217.340973,2444700
2019-03-05,218.910004,221.610001,218.899994,219.820007,218.744095,2160200
2019-03-06,220.500000,221.910004,218.229996,219.229996,218.156967,1985300
2019-03-07,218.130005,219.389999,216.220001,216.789993,215.728897,3279100
2019-03-08,225.479996,228.699997,223.770004,227.820007,226.704926,6782700
2019-03-11,227.529999,229.910004,227.059998,229.690002,228.565765,3748400
2019-03-12,230.320007,233.399994,229.899994,232.960007,231.819763,2647100
2019-03-13,234.250000,237.449997,232.949997,236.380005,235.223022,2421200
2019-03-14,236.130005,236.380005,233.279999,233.839996,232.695450,2300300
2019-03-15,234.169998,235.649994,233.179993,233.600006,232.456635,5075400
2019-03-18,233.580002,236.679993,233.490005,236.589996,235.431992,1735400
2019-03-19,237.520004,238.050003,236.289993,237.050003,235.889740,1852300
2019-03-20,237.029999,238.490005,235.779999,236.979996,235.820084,1499500
2019-03-21,236.679993,239.850006,236.550003,239.539993,238.367554,1617000
2019-03-22,239.750000,240.339996,236.899994,237.559998,236.397232,1873600
2019-03-25,236.929993,238.080002,235.789993,236.970001,235.810135,1357100
2019-03-26,238.000000,240.250000,237.360001,239.070007,237.899857,1193000
2019-03-27,238.710007,240.210007,238.160004,239.410004,238.238205,1351200
2019-03-28,239.979996,241.949997,239.580002,241.220001,240.039337,1396700
2019-03-29,241.660004,242.440002,240.770004,242.139999,240.954834,1968000
2019-04-01,243.070007,244.410004,242.580002,244.190002,242.994797,1610200
2019-04-02,244.000000,244.190002,240.309998,240.500000,239.322861,1574300
2019-04-03,241.690002,243.550003,241.020004,242.479996,241.293167,1663600
2019-04-04,242.169998,244.759995,241.250000,244.399994,243.203766,1319700
